turns, p
1, 0.004325
2, 0.018503
3, 0.040828
4, 0.063432
5, 0.0721
6, 0.068421
7, 0.061435
8, 0.054042
9, 0.049427
10, 0.045313
11, 0.041588
12, 0.038636
13, 0.035077
14, 0.032576
15, 0.030063
16, 0.027266
17, 0.025504
18, 0.023273
19, 0.021727
20, 0.019778
21, 0.018121
22, 0.01656
23, 0.015401
24, 0.014084
25, 0.012936
26, 0.011973
27, 0.011056
28, 0.010161
29, 0.009208
30, 0.008464
31, 0.007942
32, 0.007353
33, 0.006545
34, 0.006057
35, 0.005664
36, 0.005123
37, 0.004797
38, 0.004507
39, 0.004071
40, 0.003741
41, 0.003375
42, 0.003078
43, 0.002892
44, 0.002696
45, 0.002506
46, 0.002311
47, 0.002123
48, 0.001986
49, 0.00181
50, 0.001649
51, 0.001435
52, 0.001348
53, 0.001264
54, 0.00115
55, 0.001037
56, 0.000975
57, 0.000962
58, 0.000823
59, 0.000751
60, 0.000749
61, 0.000674
62, 0.000634
63, 0.00055
64, 0.000456
65, 0.000456
66, 0.000449
67, 0.000417
68, 0.000379
69, 0.000345
70, 0.00027
71, 0.000244
72, 0.000284
73, 0.000228
74, 0.000203
75, 0.000174
76, 0.000178
77, 0.000153
78, 0.000127
79, 0.000143
80, 0.000142
81, 0.0001
82, 0.000106
83, 0.00011
84, 0.000102
85, 0.000092
86, 0.00008
87, 0.000065
88, 0.000073
89, 0.000066
90, 0.000049
91, 0.000053
92, 0.000047
93, 0.000044
94, 0.000048
95, 0.000038
96, 0.00002
97, 0.000029
98, 0.000032
99, 0.000022
100, 0.000021
101, 0.000032
102, 0.000028
103, 0.00002
104, 0.00002
105, 0.000017
106, 0.00001
107, 0.00001
108, 0.000011
109, 0.000012
110, 0.000011
111, 0.000004
112, 0.00001
113, 0.000012
114, 0.000009
115, 0.000007
116, 0.000005
117, 0.000005
118, 0.000005
119, 0.000007
120, 0.000006
121, 0.000004
122, 0.000003
123, 0.000001
124, 0.000004
125, 0.000002
126, 0.000005
127, 0.000004
128, 0.000002
129, 0.000001
130, 0.000004
131, 0.000003
132, 0.000005
133, 0.000002
134, 0
135, 0.000002
136, 0.000001
137, 0.000001
138, 0.000001
139, 0.000001
140, 0
141, 0.000003
142, 0
143, 0.000001
144, 0.000001
145, 0
146, 0.000001
147, 0
148, 0
149, 0.000001
150, 0.000001
151, 0.000001
152, 0
153, 0
154, 0
155, 0
156, 0
157, 0
158, 0.000001
159, 0
160, 0.000001
161, 0
162, 0
163, 0.000001
